,school,sex,age,address,family_size,parent_status,mothers_education,fathers_education,mothers_job,fathers_job,reason,guardian,traveltime,studytime,failures,extra_support,family_support,extra_classes,activities,nursery,higher_education,internet,romantic,family_relation,freetime,out_with_friends,daily_alcohol_cons,weekend_alcohol_cons,health,absences,first_grade,second_grade,final_grade
18,Gabriel Pereira,Male,17,Urban,4 or more,Together,secondary,5th - 9th,services,services,course,mother,1,1,3,no,yes,yes,yes,yes,yes,yes,no,excellent,very high,very high,low,high,excellent,2,8,8,7
19,Gabriel Pereira,Male,16,Urban,3 or less,Together,higher,secondary,health,other,home,father,1,1,0,no,no,no,yes,yes,yes,yes,no,normal,very low,normal,very low,normal,excellent,6,12,12,12
20,Gabriel Pereira,Male,15,Urban,4 or more,Together,higher,secondary,teacher,other,reputation,mother,1,2,0,no,no,no,no,yes,yes,yes,no,good,high,very low,very low,very low,very bad,0,12,13,14
21,Gabriel Pereira,Male,15,Urban,4 or more,Together,higher,higher,health,health,other,father,1,1,0,no,yes,yes,no,yes,yes,yes,no,excellent,high,low,very low,very low,excellent,0,11,12,12
22,Gabriel Pereira,Male,16,Urban,3 or less,Together,higher,5th - 9th,teacher,other,course,mother,1,2,0,no,no,no,yes,yes,yes,yes,no,good,very high,very low,very low,normal,excellent,0,12,13,14
23,Gabriel Pereira,Male,16,Urban,3 or less,Together,5th - 9th,5th - 9th,other,other,reputation,mother,2,2,0,no,yes,no,yes,yes,yes,yes,no,excellent,high,high,low,high,excellent,2,10,10,10
24,Gabriel Pereira,Female,15,Rural,4 or more,Together,5th - 9th,higher,services,health,course,mother,1,3,0,yes,yes,no,yes,yes,yes,yes,no,good,normal,low,very low,very low,excellent,2,10,11,10
25,Gabriel Pereira,Female,16,Urban,4 or more,Together,5th - 9th,5th - 9th,services,services,home,mother,1,1,0,no,yes,no,no,no,yes,yes,no,very bad,low,low,very low,normal,excellent,6,10,11,12
26,Gabriel Pereira,Male,15,Urban,4 or more,Together,5th - 9th,5th - 9th,other,other,home,mother,1,1,0,no,yes,no,no,yes,yes,yes,no,good,low,low,very low,low,excellent,8,11,12,12
27,Gabriel Pereira,Male,15,Urban,4 or more,Together,higher,5th - 9th,health,services,other,mother,1,1,0,no,no,no,no,yes,yes,yes,no,bad,low,high,low,high,very bad,0,11,11,11
28,Gabriel Pereira,Male,16,Urban,3 or less,Apart,secondary,higher,services,other,home,mother,1,2,0,yes,yes,yes,yes,yes,yes,yes,no,excellent,normal,normal,very low,very low,excellent,2,12,12,13
29,Gabriel Pereira,Male,16,Urban,4 or more,Together,higher,higher,teacher,teacher,home,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,yes,good,high,very high,very high,very high,excellent,4,12,11,12
30,Gabriel Pereira,Male,15,Urban,4 or more,Together,higher,higher,health,services,home,mother,1,2,0,no,yes,yes,no,no,yes,yes,no,excellent,high,low,normal,high,excellent,0,10,11,11
31,Gabriel Pereira,Male,15,Urban,4 or more,Together,higher,higher,services,services,reputation,mother,2,2,0,no,yes,no,yes,yes,yes,yes,no,good,normal,very low,very low,very low,excellent,2,15,15,15
32,Gabriel Pereira,Male,15,Rural,4 or more,Together,higher,secondary,teacher,at_home,course,mother,1,2,0,no,yes,no,yes,yes,yes,yes,yes,good,very high,low,very low,very low,excellent,0,13,14,15
33,Gabriel Pereira,Male,15,Urban,3 or less,Together,secondary,secondary,other,other,course,mother,1,2,0,no,no,no,yes,no,yes,yes,no,excellent,normal,low,very low,very low,bad,0,13,12,12
34,Gabriel Pereira,Male,16,Urban,4 or more,Together,secondary,5th - 9th,other,other,home,mother,1,1,0,no,yes,no,no,no,yes,yes,no,excellent,high,normal,very low,very low,excellent,4,12,12,12
35,Gabriel Pereira,Female,15,Urban,4 or more,Together,5th - 9th,secondary,other,other,other,father,2,1,0,no,yes,no,yes,yes,yes,no,no,normal,very high,very low,very low,very low,excellent,4,11,11,11
36,Gabriel Pereira,Male,15,Urban,3 or less,Together,higher,secondary,teacher,services,home,mother,1,3,0,no,yes,no,yes,yes,yes,yes,no,excellent,high,normal,very low,very low,good,0,14,14,14
37,Gabriel Pereira,Male,16,Rural,4 or more,Apart,higher,higher,other,teacher,reputation,mother,2,3,0,no,yes,no,yes,yes,yes,yes,yes,bad,high,normal,very low,very low,excellent,4,13,13,13
38,Gabriel Pereira,Female,15,Rural,4 or more,Together,secondary,higher,services,health,course,mother,1,3,0,yes,yes,no,yes,yes,yes,yes,no,good,normal,low,very low,very low,excellent,2,11,12,12
39,Gabriel Pereira,Female,15,Rural,4 or more,Together,5th - 9th,5th - 9th,at_home,other,reputation,mother,1,1,0,yes,yes,no,yes,yes,yes,no,no,good,normal,very low,very low,very low,bad,8,14,13,12
40,Gabriel Pereira,Female,16,Urban,3 or less,Together,5th - 9th,5th - 9th,other,other,home,mother,2,2,0,no,yes,no,yes,no,yes,yes,yes,normal,normal,normal,very low,low,normal,16,11,11,10
41,Gabriel Pereira,Male,15,Urban,3 or less,Together,higher,higher,teacher,other,home,other,1,1,0,no,yes,no,no,no,yes,yes,yes,excellent,high,normal,low,high,excellent,8,10,11,11
42,Gabriel Pereira,Male,15,Urban,4 or more,Together,higher,higher,services,teacher,course,father,1,2,0,no,yes,no,yes,yes,yes,yes,no,good,normal,normal,very low,very low,excellent,0,14,15,15
43,Gabriel Pereira,Male,15,Urban,4 or more,Together,5th - 9th,5th - 9th,services,services,course,father,1,1,0,yes,yes,no,no,yes,yes,yes,no,excellent,high,very low,very low,very low,very bad,0,9,10,10
44,Gabriel Pereira,Female,16,Urban,3 or less,Together,5th - 9th,5th - 9th,other,at_home,course,father,2,2,1,yes,no,no,yes,yes,yes,yes,no,good,normal,normal,low,low,excellent,14,10,11,11
45,Gabriel Pereira,Female,15,Urban,3 or less,Apart,higher,secondary,other,other,course,mother,1,2,0,yes,yes,yes,yes,yes,yes,yes,yes,excellent,low,low,very low,very low,excellent,4,10,11,11
46,Gabriel Pereira,Female,16,Urban,3 or less,Apart,secondary,secondary,other,services,home,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,bad,normal,very high,very low,high,normal,6,13,12,13
47,Gabriel Pereira,Male,16,Urban,4 or more,Together,higher,secondary,health,services,reputation,mother,1,4,0,no,no,no,yes,yes,yes,yes,no,good,low,low,very low,very low,bad,2,17,17,17
48,Gabriel Pereira,Male,15,Urban,4 or more,Together,higher,5th - 9th,teacher,other,home,mother,1,2,0,no,yes,no,no,yes,yes,no,no,good,normal,normal,low,low,excellent,4,11,12,13
49,Gabriel Pereira,Female,15,Urban,4 or more,Together,higher,higher,services,teacher,other,father,1,2,0,yes,yes,no,yes,no,yes,yes,no,good,high,high,very low,very low,normal,2,13,12,12
50,Gabriel Pereira,Female,16,Urban,3 or less,Together,5th - 9th,5th - 9th,services,services,course,mother,3,2,0,no,yes,no,no,yes,yes,yes,no,good,normal,normal,low,normal,good,0,14,13,13
51,Gabriel Pereira,Female,15,Urban,3 or less,Together,higher,5th - 9th,health,other,other,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,good,normal,normal,very low,very low,excellent,0,16,14,16
52,Gabriel Pereira,Male,15,Urban,3 or less,Apart,higher,5th - 9th,health,health,other,father,2,1,0,no,no,no,no,yes,yes,no,no,excellent,very high,very high,normal,high,excellent,4,10,9,9
53,Gabriel Pereira,Female,15,Urban,4 or more,Together,higher,higher,services,services,course,mother,1,1,0,yes,yes,no,no,yes,yes,yes,no,normal,normal,high,low,normal,excellent,0,13,12,12
54,Gabriel Pereira,Female,15,Urban,3 or less,Apart,secondary,secondary,other,other,other,mother,1,1,0,no,no,no,no,yes,yes,yes,no,excellent,normal,high,high,high,very bad,0,13,12,13
55,Gabriel Pereira,Female,16,Urban,4 or more,Apart,5th - 9th,primary,other,other,other,mother,1,2,0,no,no,no,yes,yes,yes,yes,yes,excellent,normal,high,very low,very low,bad,2,12,13,12
56,Gabriel Pereira,Female,15,Urban,4 or more,Apart,higher,secondary,services,services,reputation,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,good,normal,low,very low,very low,very bad,0,15,14,15
57,Gabriel Pereira,Male,15,Urban,4 or more,Together,higher,higher,teacher,health,reputation,mother,1,2,0,no,yes,no,yes,yes,yes,no,no,normal,low,low,very low,very low,excellent,8,15,15,16
58,Gabriel Pereira,Male,15,Urban,3 or less,Together,primary,5th - 9th,other,at_home,home,father,1,2,0,yes,yes,no,yes,yes,yes,yes,no,good,normal,low,very low,very low,excellent,0,14,13,14
59,Gabriel Pereira,Female,16,Urban,4 or more,Together,higher,5th - 9th,services,other,course,mother,1,2,0,no,yes,yes,no,yes,yes,yes,no,good,low,normal,very low,very low,excellent,2,16,15,16
60,Gabriel Pereira,Female,16,Rural,4 or more,Together,higher,higher,health,teacher,other,mother,1,2,0,no,yes,no,yes,yes,yes,no,no,bad,high,high,low,normal,good,0,17,16,16
61,Gabriel Pereira,Female,16,Urban,4 or more,Together,primary,primary,services,services,course,father,4,1,0,yes,yes,no,yes,no,yes,yes,yes,excellent,very high,very high,very high,very high,excellent,0,10,10,16
62,Gabriel Pereira,Female,16,Urban,3 or less,Together,primary,5th - 9th,other,services,reputation,father,1,2,0,yes,no,no,yes,yes,yes,yes,no,good,high,normal,very low,very low,very bad,0,13,13,10
63,Gabriel Pereira,Female,16,Urban,4 or more,Together,higher,secondary,teacher,health,home,mother,1,3,0,yes,yes,no,yes,yes,yes,yes,no,normal,high,high,low,high,good,0,14,13,13
64,Gabriel Pereira,Female,15,Urban,3 or less,Together,higher,secondary,services,services,reputation,father,1,2,0,yes,no,no,yes,yes,yes,yes,yes,good,high,high,low,high,bad,0,13,12,12
65,Gabriel Pereira,Female,16,Urban,3 or less,Together,higher,secondary,teacher,services,course,mother,3,2,0,no,yes,no,yes,yes,yes,yes,no,excellent,high,normal,very low,low,very bad,2,16,15,16
66,Gabriel Pereira,Male,15,Urban,4 or more,Apart,higher,higher,other,services,reputation,mother,1,4,0,no,yes,no,yes,no,yes,yes,yes,very bad,normal,normal,very high,very high,normal,0,11,12,12
67,Gabriel Pereira,Female,16,Urban,4 or more,Together,secondary,primary,services,other,course,mother,1,4,0,yes,yes,no,no,yes,yes,yes,no,good,normal,normal,very low,low,excellent,0,10,9,10
68,Gabriel Pereira,Female,15,Rural,3 or less,Together,5th - 9th,5th - 9th,health,services,reputation,mother,2,2,0,yes,yes,no,no,yes,yes,yes,no,good,very low,normal,very low,normal,good,0,11,10,11
69,Gabriel Pereira,Female,15,Rural,3 or less,Together,secondary,primary,other,other,reputation,father,2,4,0,no,yes,no,no,no,yes,yes,no,good,high,low,low,normal,normal,6,15,15,15
70,Gabriel Pereira,Male,16,Urban,4 or more,Together,secondary,primary,other,other,reputation,father,2,4,0,no,yes,no,no,yes,yes,yes,no,good,normal,low,very low,very low,excellent,2,13,11,11
71,Gabriel Pereira,Male,15,Urban,4 or more,Together,higher,5th - 9th,other,other,course,mother,1,4,0,no,no,no,no,yes,yes,yes,no,normal,normal,normal,very low,very low,normal,0,11,9,10
72,Gabriel Pereira,Female,15,Rural,4 or more,Together,primary,primary,other,other,reputation,mother,1,2,0,yes,yes,no,no,no,yes,yes,yes,normal,normal,high,low,high,excellent,2,13,11,11
73,Gabriel Pereira,Male,16,Urban,4 or more,Together,secondary,primary,other,other,reputation,mother,1,1,0,no,no,no,yes,yes,yes,no,no,excellent,normal,low,low,low,excellent,0,13,13,14
74,Gabriel Pereira,Female,16,Urban,4 or more,Together,secondary,secondary,other,services,home,mother,1,2,0,yes,yes,no,yes,yes,yes,yes,no,good,normal,normal,low,high,excellent,4,11,11,11
75,Gabriel Pereira,Male,15,Urban,4 or more,Together,higher,secondary,teacher,other,home,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,good,normal,normal,low,normal,excellent,0,11,11,11
76,Gabriel Pereira,Male,15,Urban,4 or more,Together,higher,None,teacher,other,course,mother,2,4,0,no,no,no,yes,yes,yes,yes,no,normal,high,normal,very low,very low,very bad,0,12,11,11
77,Gabriel Pereira,Female,16,Urban,4 or more,Together,5th - 9th,5th - 9th,other,other,reputation,mother,1,4,0,no,no,no,no,yes,yes,yes,yes,excellent,low,normal,very low,normal,normal,1,13,13,13
78,Gabriel Pereira,Male,17,Urban,4 or more,Together,5th - 9th,primary,other,other,home,mother,2,1,3,yes,yes,no,yes,yes,no,yes,no,good,very high,very low,very low,very low,normal,0,9,9,10
79,Gabriel Pereira,Female,16,Urban,4 or more,Together,secondary,higher,at_home,other,course,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,bad,high,normal,very low,low,normal,14,12,11,11
80,Gabriel Pereira,Male,15,Urban,4 or more,Together,5th - 9th,secondary,other,services,course,father,1,1,0,yes,yes,no,yes,no,yes,yes,yes,normal,low,low,very low,normal,normal,0,11,11,12
81,Gabriel Pereira,Male,15,Urban,4 or more,Together,5th - 9th,secondary,other,other,home,mother,1,3,0,yes,no,no,no,no,yes,yes,no,excellent,normal,low,very low,low,excellent,2,10,9,9
82,Gabriel Pereira,Female,15,Urban,3 or less,Together,secondary,5th - 9th,services,other,reputation,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,good,high,high,very low,very low,excellent,4,12,11,11
83,Gabriel Pereira,Male,15,Urban,3 or less,Together,5th - 9th,5th - 9th,services,services,home,mother,2,2,0,no,no,yes,yes,yes,yes,yes,no,excellent,normal,normal,very low,normal,good,2,13,12,13
84,Gabriel Pereira,Female,15,Urban,4 or more,Together,primary,primary,other,other,home,father,1,2,0,no,yes,no,yes,no,yes,yes,no,good,normal,low,low,normal,good,2,13,12,12
85,Gabriel Pereira,Female,15,Urban,4 or more,Together,higher,higher,services,services,reputation,father,2,2,0,no,no,no,no,yes,yes,yes,yes,good,high,high,low,normal,excellent,4,12,11,12
86,Gabriel Pereira,Female,16,Urban,3 or less,Together,5th - 9th,5th - 9th,at_home,other,course,mother,1,2,0,no,yes,no,no,yes,yes,no,no,good,normal,high,very low,low,bad,6,13,11,11
87,Gabriel Pereira,Female,15,Urban,4 or more,Together,higher,5th - 9th,other,other,reputation,mother,1,3,0,no,yes,no,yes,yes,yes,yes,no,excellent,normal,normal,very low,normal,very bad,4,15,15,15
88,Gabriel Pereira,Male,16,Urban,4 or more,Together,5th - 9th,5th - 9th,services,other,reputation,father,2,2,0,no,no,no,yes,no,yes,yes,no,good,high,low,very low,very low,normal,6,12,10,11
89,Gabriel Pereira,Male,16,Urban,3 or less,Apart,higher,higher,teacher,health,reputation,mother,1,2,0,no,yes,no,no,yes,yes,no,no,good,very low,normal,normal,very high,excellent,6,9,9,10
90,Gabriel Pereira,Female,16,Urban,4 or more,Together,secondary,secondary,other,other,home,mother,1,3,0,no,yes,no,no,yes,yes,yes,yes,good,normal,normal,very low,normal,good,2,9,11,11
91,Gabriel Pereira,Female,15,Urban,4 or more,Together,higher,secondary,services,other,reputation,mother,1,1,0,no,no,no,yes,yes,yes,yes,no,good,very high,very high,very low,normal,very bad,6,14,13,13
92,Gabriel Pereira,Female,16,Urban,3 or less,Together,secondary,primary,other,other,home,father,1,2,0,yes,yes,no,no,yes,yes,no,no,normal,normal,normal,low,normal,bad,0,12,13,12
93,Gabriel Pereira,Female,16,Urban,4 or more,Together,higher,5th - 9th,teacher,services,home,mother,2,2,0,no,yes,no,yes,yes,yes,yes,no,excellent,normal,normal,very low,very low,very bad,2,13,14,14
94,Gabriel Pereira,Male,15,Urban,3 or less,Together,5th - 9th,5th - 9th,services,health,reputation,mother,1,4,0,no,yes,no,yes,yes,yes,yes,no,good,normal,high,very low,very low,good,2,11,12,12
95,Gabriel Pereira,Female,15,Rural,4 or more,Together,primary,primary,at_home,other,home,mother,2,4,0,yes,yes,yes,yes,yes,yes,yes,no,normal,very low,low,very low,very low,very bad,4,13,13,13
96,Gabriel Pereira,Male,16,Rural,4 or more,Together,higher,secondary,services,other,reputation,mother,2,1,0,yes,yes,yes,yes,no,yes,yes,no,normal,normal,normal,very low,very low,good,6,9,11,11
97,Gabriel Pereira,Female,16,Urban,4 or more,Together,5th - 9th,primary,other,other,course,mother,1,2,0,no,yes,no,no,yes,yes,no,yes,good,normal,very high,very low,very low,excellent,0,13,12,12
98,Gabriel Pereira,Female,16,Urban,4 or more,Together,higher,higher,other,other,reputation,mother,1,1,0,no,no,no,yes,no,yes,yes,no,excellent,normal,high,very low,low,very bad,4,12,13,13
99,Gabriel Pereira,Female,16,Urban,4 or more,Together,higher,secondary,other,at_home,course,mother,1,3,0,yes,yes,no,no,yes,yes,yes,no,excellent,normal,very high,very low,very low,normal,2,12,13,13
100,Gabriel Pereira,Male,16,Urban,4 or more,Together,higher,higher,services,services,other,mother,1,1,0,yes,yes,no,yes,yes,yes,yes,no,good,very high,very high,very high,very high,good,12,9,9,8
101,Gabriel Pereira,Male,16,Urban,4 or more,Together,higher,higher,services,teacher,other,father,1,3,0,no,yes,no,yes,yes,yes,yes,yes,good,high,normal,very low,very low,good,0,16,16,16
102,Gabriel Pereira,Male,15,Urban,4 or more,Together,higher,higher,services,other,course,mother,1,1,0,no,yes,yes,yes,no,yes,yes,no,excellent,normal,normal,very low,very low,excellent,2,12,13,12
103,Gabriel Pereira,Female,15,Urban,4 or more,Together,secondary,5th - 9th,services,other,home,mother,2,2,0,yes,yes,no,no,yes,yes,yes,no,good,normal,very high,very low,very low,bad,16,11,10,10
104,Gabriel Pereira,Male,15,Urban,4 or more,Apart,secondary,higher,services,other,course,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,excellent,high,high,very low,very low,very bad,0,16,16,16
105,Gabriel Pereira,Female,15,Urban,4 or more,Apart,secondary,secondary,other,health,reputation,father,1,4,0,yes,no,no,no,yes,yes,no,no,good,normal,normal,very low,very low,good,10,10,10,10
106,Gabriel Pereira,Female,15,Urban,4 or more,Together,5th - 9th,5th - 9th,other,other,course,mother,1,4,0,yes,yes,no,no,yes,yes,yes,no,excellent,very low,low,very low,very low,normal,4,10,10,10
107,Gabriel Pereira,Male,16,Urban,4 or more,Together,secondary,secondary,services,other,home,father,1,3,0,no,yes,no,yes,yes,yes,yes,no,excellent,normal,normal,very low,very low,excellent,4,13,14,14
108,Gabriel Pereira,Male,15,Rural,4 or more,Together,higher,higher,other,other,home,father,4,4,0,no,yes,no,yes,yes,yes,yes,yes,very bad,normal,very high,normal,very high,very bad,8,12,10,11
109,Gabriel Pereira,Female,16,Urban,3 or less,Together,higher,higher,health,health,other,mother,1,3,0,no,yes,no,yes,yes,yes,yes,yes,excellent,high,very high,very low,very low,good,2,15,15,14
110,Gabriel Pereira,Male,15,Urban,3 or less,Apart,higher,higher,teacher,teacher,course,mother,1,1,0,no,no,no,yes,yes,yes,yes,no,excellent,very high,normal,very low,very low,good,4,13,14,14
111,Gabriel Pereira,Female,16,Rural,4 or more,Together,secondary,secondary,services,other,reputation,father,1,3,0,yes,yes,no,yes,yes,yes,yes,no,good,very low,low,very low,very low,bad,4,11,11,11
112,Gabriel Pereira,Female,16,Urban,4 or more,Together,5th - 9th,5th - 9th,at_home,other,home,mother,1,2,1,yes,no,no,yes,yes,yes,yes,no,normal,very low,low,very low,very low,excellent,12,8,10,10
113,Gabriel Pereira,Male,15,Urban,3 or less,Together,higher,5th - 9th,teacher,other,course,mother,1,1,0,no,no,no,no,yes,yes,yes,no,normal,very high,low,very low,very low,normal,10,18,17,18
114,Gabriel Pereira,Male,15,Rural,4 or more,Together,5th - 9th,primary,health,services,reputation,mother,1,2,0,no,no,no,yes,yes,yes,yes,yes,excellent,high,low,very low,very low,excellent,4,10,9,10
115,Gabriel Pereira,Male,16,Urban,4 or more,Together,higher,higher,teacher,teacher,course,father,1,2,0,no,yes,no,yes,yes,yes,yes,no,excellent,high,high,very low,low,excellent,6,16,14,14
116,Gabriel Pereira,Male,15,Urban,4 or more,Together,higher,higher,other,teacher,reputation,father,2,2,0,no,yes,no,yes,yes,yes,no,no,good,high,normal,very low,very low,bad,4,16,15,16
117,Gabriel Pereira,Male,16,Urban,4 or more,Together,secondary,secondary,other,services,home,father,2,1,0,no,no,no,yes,yes,yes,yes,no,excellent,high,low,very low,very low,excellent,6,14,14,15
118,Gabriel Pereira,Male,17,Rural,4 or more,Together,primary,secondary,other,other,course,father,3,2,1,no,yes,no,yes,yes,yes,yes,no,excellent,low,high,very low,high,excellent,14,12,11,11
119,Gabriel Pereira,Male,15,Urban,4 or more,Together,secondary,higher,other,other,reputation,father,1,1,0,no,no,no,no,yes,yes,yes,no,normal,high,normal,very low,low,good,2,14,13,14
120,Gabriel Pereira,Female,15,Urban,4 or more,Together,primary,5th - 9th,at_home,services,course,mother,1,2,0,no,no,no,no,no,yes,yes,no,normal,low,normal,very low,low,very bad,0,14,14,14
121,Gabriel Pereira,Male,15,Urban,4 or more,Together,5th - 9th,5th - 9th,services,services,home,father,1,4,0,no,yes,no,yes,yes,yes,yes,no,excellent,very high,high,very low,low,excellent,6,14,13,13
122,Gabriel Pereira,Female,16,Urban,3 or less,Together,5th - 9th,higher,other,health,course,father,2,2,0,no,yes,no,yes,yes,yes,yes,yes,good,low,low,very low,low,excellent,2,14,12,13
123,Gabriel Pereira,Male,16,Urban,4 or more,Together,higher,higher,health,other,course,mother,1,1,0,no,yes,no,yes,yes,yes,yes,no,normal,high,high,very low,high,excellent,4,12,13,13
124,Gabriel Pereira,Female,16,Urban,4 or more,Together,5th - 9th,5th - 9th,other,other,home,mother,1,2,0,no,no,no,no,yes,yes,yes,yes,excellent,high,high,very low,very low,excellent,0,12,11,11
125,Gabriel Pereira,Male,15,Urban,4 or more,Together,secondary,higher,services,services,home,father,1,1,0,yes,no,no,no,yes,yes,yes,no,excellent,very high,very high,normal,low,excellent,2,9,9,9
126,Gabriel Pereira,Female,15,Urban,3 or less,Apart,secondary,higher,other,other,home,mother,1,2,0,yes,no,no,yes,yes,yes,yes,yes,excellent,normal,low,very low,very low,very bad,0,10,11,11
127,Gabriel Pereira,Female,19,Urban,4 or more,Together,None,primary,at_home,other,course,other,1,2,2,no,yes,no,no,no,no,no,no,normal,high,low,very low,very low,excellent,0,9,10,11
128,Gabriel Pereira,Male,16,Rural,4 or more,Together,higher,higher,teacher,teacher,course,mother,1,1,0,no,no,no,yes,yes,yes,yes,no,normal,very high,very high,low,very high,good,8,14,14,15
129,Gabriel Pereira,Male,16,Urban,4 or more,Together,5th - 9th,secondary,other,other,course,mother,2,3,0,no,yes,no,no,no,yes,yes,yes,normal,low,normal,low,low,very bad,4,13,12,13
130,Gabriel Pereira,Female,15,Rural,4 or more,Together,secondary,higher,services,teacher,course,father,2,3,0,no,yes,no,no,yes,yes,yes,yes,good,low,low,low,low,excellent,0,10,11,12
131,Gabriel Pereira,Female,18,Urban,4 or more,Together,5th - 9th,primary,services,other,reputation,mother,1,2,3,no,yes,no,yes,yes,no,yes,yes,excellent,high,very high,very low,normal,excellent,10,10,9,8
132,Gabriel Pereira,Female,17,Urban,3 or less,Apart,5th - 9th,primary,other,other,course,mother,3,1,0,no,yes,no,no,yes,yes,yes,no,normal,low,low,very low,low,excellent,8,11,10,11
133,Gabriel Pereira,Female,15,Urban,4 or more,Together,primary,primary,at_home,other,course,mother,3,1,0,no,yes,no,yes,no,yes,yes,yes,good,normal,normal,very low,low,good,6,11,12,13
134,Gabriel Pereira,Female,17,Urban,3 or less,Together,5th - 9th,5th - 9th,other,other,course,father,1,1,0,no,yes,no,no,yes,yes,yes,yes,normal,high,high,very low,normal,excellent,2,13,12,12
135,Gabriel Pereira,Female,16,Urban,4 or more,Apart,secondary,higher,services,other,course,father,1,1,0,no,no,no,no,yes,yes,yes,no,normal,low,very low,very low,high,excellent,12,15,13,14
136,Gabriel Pereira,Male,16,Urban,4 or more,Together,5th - 9th,primary,at_home,other,course,mother,4,1,0,no,no,no,no,yes,yes,no,no,normal,low,very low,very low,very low,bad,4,9,9,11
